"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EG_WEB_SHAPE_LABEL_EN","EG_WEB_SHAPE_LABEL_FR","VOL_LIT","VOL_CUB","TYPE_LABEL_EN","TYPE_LABEL_FR","SIZE_CATEGORY","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","HR24_FREEZE_KG"
10300777,"DCF071A3*","Danby",225,"Chest","Coffre",201.2,7.11,"18","18",1,"-","-",9.4
10304689,"970F44853*","Electrolux",509,"Upright","Verticaux",526,18.58,"09","09",7,"Automatic","Automatique",17.09
10990158,"FRF434I","Igloo",174,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5
10990160,"AZF33X16D*","Amana",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990161,"ICFF1614A*","Imperial",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990162,"MZF34X16D*","Maytag",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990163,"WZF34X16D*","Whirlpool",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990164,"WZF56R16D*","Whirlpool",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990165,"FCM15DH****","GE",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
10990166,"FCM22DH****","GE",386,"Chest","Coffre",614.47,21.7,"10","10",9,"-","-",15.602
10990306,"253-12502E","Kenmore",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
10990307,"253-12702E","Kenmore",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
10990308,"253-12402E","Kenmore",194,"Chest","Coffre",98.2,3.47,"18","18",0,"-","-",9
10990309,"FFFC07M4NW","Frigidaire",225.33,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
10990310,"FFFC05M4NW","Frigidaire",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
10990311,"253-18502C","Kenmore",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
10990312,"253-18702C","Kenmore",225.33,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
10990313,"CFC05NW","Crosley",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
10990314,"CFC07NW","Crosley",225.33,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
10990315,"RS-04DC1SS","Hisense",241,"Upright","Verticaux",30.7,1.08,"16","16",0,"Manual","Non automatique",3
10990316,"RC13D1A*E","Hisense",241,"Upright","Verticaux",30.7,1.08,"16","16",0,"Manual","Non automatique",3
10990317,"WUF13W","Commercial Cool",241,"Upright","Verticaux",30.7,1.08,"16","16",0,"Manual","Non automatique",3
10990329,"HS502FW-2","Brada",391,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
10990330,"UDF-138DW","Whynter",391,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
10990387,"HF861","Liebherr",439,"Upright","Verticaux",220,7.77,"09","09",2,"Automatic","Automatique",18
10990388,"FNS37492IE","Miele",439,"Upright","Verticaux",220,7.77,"09","09",2,"Automatic","Automatique",18
10990403,"IC-18FI","Sub-Zero",490,"Upright","Verticaux",237.86,8.4,"09","09",2,"Automatic","Automatique",7.75
11776316,"FPFU19F8RF*","Frigidaire",509,"Upright","Verticaux",526,18.58,"09","09",7,"Automatic","Automatique",17.09
11818175,"AT50FRE","Attitude",218,"Chest","Coffre",142,5,"18","18",0,"-","-",11.3
12881075,"FRF438-B","Igloo",152,"Chest","Coffre",100,3.5,"18","18",0,"-","-",8
12881076,"FRF452-C","Igloo",172,"Chest","Coffre",145,5.1,"18","18",0,"-","-",10
13155596,"FFFU14F1RW*","Frigidaire",436,"Upright","Verticaux",391,13.82,"09","09",5,"Automatic","Automatique",15.5
13155597,"FFFH17F1RW*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
13155598,"FFFH20D1RW*","Frigidaire",480,"Upright","Verticaux",573,20.22,"09","09",8,"Automatic","Automatique",21.72
13155599,"253.12812*","Kenmore",331,"Chest","Coffre",496,17.51,"10","10",7,"-","-",13.61
