"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
15799941,"DV22K680*E*","GE",428,1.32,"Compact","Compacte","240 V","240 V",113.2,"auto moisture","Automatique de l'humidité"
15799942,"592-8969*","Kenmore",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799943,"592-8968*","Kenmore",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799944,"592-8967*","Kenmore",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799945,"592-8966*","Kenmore",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799946,"DV50K75**E*","Samsung",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799947,"DV45K65**E*","Samsung",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799948,"DV45K62**E*","Samsung",920,1.43,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799949,"592-8965*","Kenmore",965,1.37,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799950,"592-8964*","Kenmore",965,1.37,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799951,"592-8962*","Kenmore",965,1.37,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
15799952,"592-8961*","Kenmore",965,1.37,"Standard","Ordinaire","120/240","120/240",212.4,"auto moisture","Automatique de l'humidité"
16293774,"8159#","Kenmore",841,1.57,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
16293775,"6142#","Kenmore",964,1.57,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
16293776,"8198#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
16294576,"DLEX7600*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
16294577,"DLEX7600*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
16294578,"DLEX8100*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
16294610,"EFMC617****","Electrolux",895,1.39,"Standard","Ordinaire","240 V","240 V",227.5,"auto moisture","Automatique de l'humidité"
16294611,"EFMC517****","Electrolux",895,1.39,"Standard","Ordinaire","240 V","240 V",227.5,"auto moisture","Automatique de l'humidité"
16294612,"EFMC417****","Electrolux",895,1.39,"Standard","Ordinaire","240 V","240 V",227.5,"auto moisture","Automatique de l'humidité"
16298990,"T8033C","Miele",470,1.36,"Compact","Compacte","240 V","240 V",111,"auto moisture","Automatique de l'humidité"
16304487,"YWED4916F**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
