"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","TYPE_LABEL_EN","TYPE_LABEL_FR","EQUIP_TYPE_LABEL_EN","EQUIP_TYPE_LABEL_FR","U_TYPE_LABEL_EN","U_TYPE_LABEL_FR","L_TYPE_LABEL_EN","L_TYPE_LABEL_FR","U_COOK_METH_LABEL_EN","U_COOK_METH_LABEL_FR","L_COOK_METH_LABEL_EN","L_COOK_METH_LABEL_FR","U_USABLE_SPACE","L_USABLE_SPACE","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
18443100,"WOC95EC0A","Whirlpool",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
18443101,"WOD51EC0A","Whirlpool",324,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",120,120,"30","30"
18443102,"WOD51EC7A","Whirlpool",319,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",102,102,"27","27"
18443103,"JJW3430*","Jenn-Air",403,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",111,,"30","30"
18443104,"JJW3830*","Jenn-Air",403,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",111,111,"30","30"
18443105,"KODC304E","KitchenAid",310,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",79,65,"24","24"
18443106,"KOSC504E","KitchenAid",342,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",79,,"24","24"
18443107,"WOD51ES4E","Whirlpool",316,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Non self-cleaning","Non autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",66,66,"24","24"
18443108,"WOS51ES4E","Whirlpool",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",66,,"24","24"
18443109,"WOS11EM4E","Whirlpool",307,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake","Cuisson normale","-","-",66,,"24","24"
18443110,"MEW7627D","Maytag",319,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",102,102,"27","27"
18443111,"AWO6317SF","Amana",422,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",111,,"27","27"
18443112,"AWO6313SF","Amana",454,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",127,,"30","30"
18443113,"WOC97ES0E","Whirlpool",366,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",120,,"30","30"
