"REC_REF_KEY","BRAND_NAME","MODEL_NUM_1","MOD_J1_AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","AVG_L_PER_CYCLE","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","PAYMENT_MECH_LABEL_EN","PAYMENT_MECH_LABEL_FR","CAPACITY","MAX_WASH_TEMP_AVAIL_LABEL_EN","MAX_WASH_TEMP_AVAIL_LABEL_FR","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L"
16682080,"GE","GFW450S*K***",166,"Front-loading standard","Ordinaire à chargement frontal",47.138,"Household","Résidentiel","-","-",127.4,"Yes","Oui","Adaptive","Adaptif",86.42,0.37,18478.096
16683398,"Kenmore","3155#",175,"Top-loading standard","Ordinaire à chargement par le haut",72.399,"Household","Résidentiel","-","-",146.26,"Yes","Oui","Adaptive","Adaptif",67.394,0.495,28380.408
16683399,"LG","WM3075C*",120,"Front-loading standard","Ordinaire à chargement frontal",47.061,"Household","Résidentiel","-","-",121.29,"No","Non","Adaptive","Adaptif",80.703,0.388,18447.912
16703413,"LG","WM4370H*A",135,"Front-loading standard","Ordinaire à chargement frontal",54.399,"Household","Résidentiel","-","-",127.1,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21324.408
16703414,"Kenmore","4168#",135,"Front-loading standard","Ordinaire à chargement frontal",54.399,"Household","Résidentiel","-","-",127.1,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21324.408
16703415,"Kenmore","4130#",135,"Front-loading standard","Ordinaire à chargement frontal",54.399,"Household","Résidentiel","-","-",127.1,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21324.408
16771419,"Haier","HLTW400BXW",234,"Top-loading standard","Ordinaire à chargement par le haut",108.12,"Household","Résidentiel","-","-",102,"No","Non","Manual","Manuel",53.19,1.06,42383.04
17034331,"Whirlpool","WFW3090G**",51,"Front-loading standard","Ordinaire à chargement frontal",27.611,"Household","Résidentiel","-","-",55.78,"No","Non","Adaptive","Adaptif",56.635,0.495,10823.512
17080888,"Primus","PFNJCASP114+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
17080889,"Primus","PFNJCASG114+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
